question,opt1,opt2,opt3,opt4,answer,hint
鐘乳石通常是從哪裡長出來的？,地面,天花板,牆壁,水裡,2,它們像冰柱一樣掛在上面。
石筍通常是從哪裡長出來的？,地面,天花板,牆壁,水裡,1,它們是從下面往上堆積的。
哪種動物最常被發現住在洞窟裡？,獅子,蝙蝠,大象,長頸鹿,2,牠們喜歡倒掛著睡覺。
大部分的天然洞窟是由什麼岩石構成的？,花崗岩,石灰岩,玄武岩,砂岩,2,這種石頭容易被酸性水溶解。
深處的洞窟環境通常是怎樣的？,陽光普照,乾燥通風,黑暗且潮濕,非常炎熱,3,陽光照不進去，且常有地下水。
在空曠的洞窟裡大叫，通常會聽到什麼？,音樂聲,回音,廣播聲,鳥叫聲,2,聲音撞到岩壁彈回來。
形成鐘乳石和石筍的主要媒介是什麼？,強風,烈火,含有礦物質的水滴,地震,3,滴水穿石，慢慢累積碳酸鈣。
進入黑暗洞窟探險，最需要攜帶什麼裝備？,墨鏡,泳衣,手電筒或頭燈,防曬油,3,裡面伸手不見五指喔。
洞窟內的溫度通常具有什麼特性？,隨季節劇烈變化,忽冷忽熱,終年恆溫,比外面熱很多,3,不受地表氣溫影響，冬暖夏涼。
著名的「藍洞」通常是指位於哪裡的洞窟？,高山上,沙漠中,海面下,火山裡,3,陽光穿過海水折射出藍光。
專門研究洞窟的學科被稱為什麼？,地質學,洞窟學,考古學,生物學,2,Speleology。
當鐘乳石和石筍連接在一起時會形成什麼？,石柱,石牆,石橋,石像,1,像柱子一樣支撐著。
洞窟探險最重要的安全守則是什麼？,帶很多食物,穿漂亮的衣服,絕對不要單獨行動,帶一把劍,3,發生意外時沒人能幫你。
蝙蝠的糞便在洞窟生態系中扮演什麼角色？,沒有用處,有毒物質,重要的食物來源,建築材料,3,許多小生物靠它維生。
地下水在石灰岩洞窟形成過程中主要起什麼作用？,冷卻岩石,溶解岩石,堆積泥土,帶來種子,2,水加上二氧化碳變成弱酸。
洞窟中的「微光區」是指哪裡？,洞口附近,最深處,地下河邊,蝙蝠聚集處,1,還能看到一點點外面的光。
世界上最長的洞窟系統位於哪個國家？,中國,美國,俄羅斯,巴西,2,猛獁洞國家公園。
在完全黑暗的洞窟中，動物通常會退化掉什麼器官？,聽覺,觸覺,視覺,嗅覺,3,看不見就不需要眼睛了。
洞窟探險時，建議至少攜帶幾種光源？,1種,2種,3種,不需要,3,主燈、備用燈、緊急燈。
什麼是「伏流」？,趴著流動的水,潛伏在地下的河流,流得很慢的水,有毒的河流,2,在地表下流動的河。
